Time,3REFRIG_1.LIC134.MEAS,3REFRIG_1.LIC134.OUT
2025-02-27 17:08:57.000,42.5,0.51
2025-02-27 17:09:07.543,42.75,
2025-02-27 17:09:09.544,42.78,
2025-02-27 17:09:19.544,42.93,
2025-02-27 17:09:21.544,42.95,
2025-02-27 17:09:31.543,43.02,
2025-02-27 17:09:33.543,43.03,
2025-02-27 17:09:41.543,43.1,
2025-02-27 17:09:47.543,43.11,
2025-02-27 17:09:55.543,43.1,
2025-02-27 17:09:59.543,43.07,
2025-02-27 17:10:09.533,42.98,
2025-02-27 17:10:11.533,42.95,
2025-02-27 17:10:21.533,42.81,
2025-02-27 17:10:23.533,42.76,
2025-02-27 17:10:33.533,42.53,
2025-02-27 17:10:35.533,42.47,
2025-02-27 17:10:45.533,42.19,
2025-02-27 17:10:47.533,42.13,
2025-02-27 17:10:57.533,41.66,
2025-02-27 17:10:59.535,41.56,
2025-02-27 17:11:09.533,41.04,
2025-02-27 17:11:11.533,40.95,
2025-02-27 17:11:21.533,40.51,
2025-02-27 17:11:23.533,40.43,
2025-02-27 17:11:33.533,40.05,
2025-02-27 17:11:35.533,39.97,
2025-02-27 17:11:45.533,39.65,
2025-02-27 17:11:47.533,39.59,
2025-02-27 17:11:57.533,39.28,
2025-02-27 17:11:59.534,39.22,
2025-02-27 17:12:09.533,38.95,
2025-02-27 17:12:11.533,38.89,
2025-02-27 17:12:21.533,38.64,
2025-02-27 17:12:23.533,38.59,
2025-02-27 17:12:33.533,38.33,
2025-02-27 17:12:35.533,38.29,
2025-02-27 17:12:45.533,38.05,
2025-02-27 17:12:47.533,38.01,
2025-02-27 17:12:57.533,37.79,
2025-02-27 17:12:59.533,37.76,
2025-02-27 17:13:09.534,37.59,
2025-02-27 17:13:11.533,37.56,
2025-02-27 17:13:21.533,37.37,
2025-02-27 17:13:23.533,37.32,
2025-02-27 17:13:33.533,37.11,
2025-02-27 17:13:35.533,37.07,
2025-02-27 17:13:45.533,36.92,
2025-02-27 17:13:47.534,36.88,
2025-02-27 17:13:57.533,36.67,
2025-02-27 17:13:59.534,36.62,
2025-02-27 17:14:09.533,36.39,
2025-02-27 17:14:11.533,36.34,
2025-02-27 17:14:23.533,36.06,
2025-02-27 17:14:25.533,36.02,
2025-02-27 17:14:35.533,35.77,
2025-02-27 17:14:37.533,35.72,
2025-02-27 17:14:47.534,35.48,
2025-02-27 17:14:49.534,35.42,
2025-02-27 17:14:59.533,35.14,
2025-02-27 17:15:01.533,35.09,
2025-02-27 17:15:11.533,34.78,
2025-02-27 17:15:13.533,34.72,
2025-02-27 17:15:23.533,34.4,
2025-02-27 17:15:25.533,34.34,
2025-02-27 17:15:35.534,34.03,
2025-02-27 17:15:37.533,33.96,
2025-02-27 17:15:47.533,33.68,
2025-02-27 17:15:49.533,33.63,
