Time	3REFRIG_1.LIC134.MEAS	3REFRIG_1.LIC134.OUT
2/27/2025 5:08:57.000 PM	42.50	0.51
2/27/2025 5:09:07.543 PM	42.75	
2/27/2025 5:09:09.544 PM	42.78	
2/27/2025 5:09:19.544 PM	42.93	
2/27/2025 5:09:21.544 PM	42.95	
2/27/2025 5:09:31.543 PM	43.02	
2/27/2025 5:09:33.543 PM	43.03	
2/27/2025 5:09:41.543 PM	43.10	
2/27/2025 5:09:47.543 PM	43.11	
2/27/2025 5:09:55.543 PM	43.10	
2/27/2025 5:09:59.543 PM	43.07	
2/27/2025 5:10:09.533 PM	42.98	
2/27/2025 5:10:11.533 PM	42.95	
2/27/2025 5:10:21.533 PM	42.81	
2/27/2025 5:10:23.533 PM	42.76	
2/27/2025 5:10:33.533 PM	42.53	
2/27/2025 5:10:35.533 PM	42.47	
2/27/2025 5:10:45.533 PM	42.19	
2/27/2025 5:10:47.533 PM	42.13	
2/27/2025 5:10:57.533 PM	41.66	
2/27/2025 5:10:59.535 PM	41.56	
2/27/2025 5:11:09.533 PM	41.04	
2/27/2025 5:11:11.533 PM	40.95	
2/27/2025 5:11:21.533 PM	40.51	
2/27/2025 5:11:23.533 PM	40.43	
2/27/2025 5:11:33.533 PM	40.05	
2/27/2025 5:11:35.533 PM	39.97	
2/27/2025 5:11:45.533 PM	39.65	
2/27/2025 5:11:47.533 PM	39.59	
2/27/2025 5:11:57.533 PM	39.28	
2/27/2025 5:11:59.534 PM	39.22	
2/27/2025 5:12:09.533 PM	38.95	
2/27/2025 5:12:11.533 PM	38.89	
2/27/2025 5:12:21.533 PM	38.64	
2/27/2025 5:12:23.533 PM	38.59	
2/27/2025 5:12:33.533 PM	38.33	
2/27/2025 5:12:35.533 PM	38.29	
2/27/2025 5:12:45.533 PM	38.05	
2/27/2025 5:12:47.533 PM	38.01	
2/27/2025 5:12:57.533 PM	37.79	
2/27/2025 5:12:59.533 PM	37.76	
2/27/2025 5:13:09.534 PM	37.59	
2/27/2025 5:13:11.533 PM	37.56	
2/27/2025 5:13:21.533 PM	37.37	
2/27/2025 5:13:23.533 PM	37.32	
2/27/2025 5:13:33.533 PM	37.11	
2/27/2025 5:13:35.533 PM	37.07	
2/27/2025 5:13:45.533 PM	36.92	
2/27/2025 5:13:47.534 PM	36.88	
2/27/2025 5:13:57.533 PM	36.67	
2/27/2025 5:13:59.534 PM	36.62	
2/27/2025 5:14:09.533 PM	36.39	
2/27/2025 5:14:11.533 PM	36.34	
2/27/2025 5:14:23.533 PM	36.06	
2/27/2025 5:14:25.533 PM	36.02	
2/27/2025 5:14:35.533 PM	35.77	
2/27/2025 5:14:37.533 PM	35.72	
2/27/2025 5:14:47.534 PM	35.48	
2/27/2025 5:14:49.534 PM	35.42	
2/27/2025 5:14:59.533 PM	35.14	
2/27/2025 5:15:01.533 PM	35.09	
2/27/2025 5:15:11.533 PM	34.78	
2/27/2025 5:15:13.533 PM	34.72	
2/27/2025 5:15:23.533 PM	34.40	
2/27/2025 5:15:25.533 PM	34.34	
2/27/2025 5:15:35.534 PM	34.03	
2/27/2025 5:15:37.533 PM	33.96	
2/27/2025 5:15:47.533 PM	33.68	
2/27/2025 5:15:49.533 PM	33.63	
2/27/2025 5:15:59.533 PM	33.35	
2/27/2025 5:16:01.533 PM	33.28	
2/27/2025 5:16:11.533 PM	32.98	
2/27/2025 5:16:13.533 PM	32.93	
2/27/2025 5:16:23.533 PM	32.60	
2/27/2025 5:16:25.533 PM	32.54	
2/27/2025 5:16:35.533 PM	32.18	
2/27/2025 5:16:37.533 PM	32.10	
2/27/2025 5:16:47.533 PM	31.72	
2/27/2025 5:16:49.533 PM	31.65	
2/27/2025 5:16:59.533 PM	31.25	
2/27/2025 5:17:01.533 PM	31.17	
2/27/2025 5:17:11.533 PM	30.76	
2/27/2025 5:17:13.533 PM	30.67	
2/27/2025 5:17:23.533 PM	30.26	
2/27/2025 5:17:25.533 PM	30.18	
2/27/2025 5:17:35.533 PM	29.75	
2/27/2025 5:17:37.533 PM	29.67	
2/27/2025 5:17:47.533 PM	29.23	
2/27/2025 5:17:49.534 PM	29.15	
2/27/2025 5:17:59.533 PM	28.72	
2/27/2025 5:18:01.533 PM	28.62	
2/27/2025 5:18:11.533 PM	28.18	
2/27/2025 5:18:13.533 PM	28.09	
2/27/2025 5:18:25.533 PM	27.56	
2/27/2025 5:18:27.533 PM	27.47	
2/27/2025 5:18:37.533 PM	27.04	
2/27/2025 5:18:39.533 PM	26.96	
2/27/2025 5:18:49.534 PM	26.59	
2/27/2025 5:18:51.534 PM	26.51	
2/27/2025 5:19:01.533 PM	26.13	15.00
2/27/2025 5:19:03.533 PM	26.05	35.00
