Time,3REFRIG_1.LIC134.MEAS,3REFRIG_1.LIC134.OUT
17:08:57,42.5,0.51
17:09:08,42.75,
17:09:10,42.78,
17:09:20,42.93,
17:09:22,42.95,
17:09:32,43.02,
17:09:34,43.03,
17:09:42,43.1,
17:09:48,43.11,
17:09:56,43.1,
17:10:00,43.07,
17:10:10,42.98,
17:10:12,42.95,
17:10:22,42.81,
17:10:24,42.76,
17:10:34,42.53,
17:10:36,42.47,
17:10:46,42.19,
17:10:48,42.13,
17:10:58,41.66,
17:11:00,41.56,
17:11:10,41.04,
17:11:12,40.95,
17:11:22,40.51,
17:11:24,40.43,
17:11:34,40.05,
17:11:36,39.97,
17:11:46,39.65,
17:11:48,39.59,
17:11:58,39.28,
17:12:00,39.22,
17:12:10,38.95,
17:12:12,38.89,
17:12:22,38.64,
17:12:24,38.59,
17:12:34,38.33,
17:12:36,38.29,
17:12:46,38.05,
17:12:48,38.01,
17:12:58,37.79,
17:13:00,37.76,
17:13:10,37.59,
17:13:12,37.56,
17:13:22,37.37,
17:13:24,37.32,
17:13:34,37.11,
17:13:36,37.07,
17:13:46,36.92,
17:13:48,36.88,
17:13:58,36.67,
17:14:00,36.62,
17:14:10,36.39,
17:14:12,36.34,
17:14:24,36.06,
17:14:26,36.02,
17:14:36,35.77,
17:14:38,35.72,
17:14:48,35.48,
17:14:50,35.42,
17:15:00,35.14,
17:15:02,35.09,
17:15:12,34.78,
17:15:14,34.72,
17:15:24,34.4,
17:15:26,34.34,
17:15:36,34.03,
17:15:38,33.96,
17:15:48,33.68,
17:15:50,33.63,
17:16:00,33.35,
17:16:02,33.28,
17:16:12,32.98,
17:16:14,32.93,
17:16:24,32.6,
17:16:26,32.54,
17:16:36,32.18,
17:16:38,32.1,
17:16:48,31.72,
17:16:50,31.65,
17:17:00,31.25,
17:17:02,31.17,
17:17:12,30.76,
17:17:14,30.67,
17:17:24,30.26,
17:17:26,30.18,
17:17:36,29.75,
17:17:38,29.67,
17:17:48,29.23,
17:17:50,29.15,
17:18:00,28.72,
17:18:02,28.62,
17:18:12,28.18,
17:18:14,28.09,
17:18:26,27.56,
17:18:28,27.47,
17:18:38,27.04,
17:18:40,26.96,
17:18:50,26.59,
17:18:52,26.51,
17:19:02,26.13,15
17:19:04,26.05,35
17:19:14,25.91,
17:19:16,25.83,
17:19:26,25.13,
17:19:28,24.91,
17:19:32,,50
17:19:38,23.82,
17:19:40,23.54,
17:19:50,22.22,
17:19:52,21.93,
17:20:02,20.31,
17:20:04,20,
17:20:08,,55
17:20:10,,60
17:20:14,18.39,
17:20:16,18.1,
17:20:26,16.85,
17:20:28,16.62,
17:20:36,,70
17:20:38,15.73,
17:20:40,15.57,
17:20:42,,95
17:20:44,,100
17:20:50,15.08,
17:20:54,15.1,
17:21:02,14.76,
17:21:04,14.61,
17:21:14,13.97,
17:21:16,13.9,
17:21:26,14.54,
17:21:28,14.8,
17:21:38,15.9,
17:21:40,16.11,90
17:21:44,,55
17:21:50,17.03,
17:21:52,17.17,
17:22:02,17.58,
17:22:04,17.69,
17:22:14,17.98,
17:22:16,18.07,
17:22:26,18.43,
17:22:28,18.48,
17:22:40,18.98,
17:22:42,19.06,
17:22:52,19.45,
17:22:54,19.52,
17:23:04,19.9,
17:23:06,19.97,
17:23:16,20.38,
17:23:18,20.45,
17:23:28,20.88,
17:23:30,20.97,
17:23:40,21.37,
17:23:42,21.45,
17:23:52,21.81,
17:23:54,21.88,
17:24:04,22.22,
17:24:06,22.29,
17:24:16,22.62,
17:24:18,22.69,
17:24:28,23.05,
17:24:30,23.13,
17:24:40,23.46,
17:24:42,23.52,
17:24:52,23.83,
17:24:54,23.88,
17:25:04,24.15,
17:25:06,24.2,
17:25:16,24.51,
17:25:18,24.57,
17:25:28,24.87,
17:25:30,24.92,
17:25:40,25.22,
17:25:42,25.27,
17:25:52,25.55,
17:25:54,25.61,
17:26:04,25.91,
17:26:06,25.97,
17:26:16,26.28,
17:26:18,26.34,
17:26:28,26.65,
17:26:30,26.72,
17:26:40,27.03,
17:26:42,27.09,
17:26:54,27.46,
17:26:56,27.52,
17:27:06,27.84,
17:27:08,27.9,
17:27:18,28.22,
17:27:20,28.28,
17:27:30,28.59,
17:27:32,28.65,
17:27:42,28.96,
17:27:44,29.02,
17:27:54,29.33,
17:27:56,29.4,
17:28:06,29.71,
17:28:08,29.76,
17:28:18,30.08,
17:28:20,30.15,
17:28:22,,5
17:28:30,30.4,
17:28:32,30.41,
17:28:42,30.57,
17:28:44,30.61,
