Time,PV,CV
2025-02-27 17:08:57.000,42.5,0.51
2025-02-27 17:09:07.543,42.75,0.51
2025-02-27 17:09:09.544,42.78,0.51
2025-02-27 17:09:19.544,42.93,0.51
2025-02-27 17:09:21.544,42.95,0.51
2025-02-27 17:09:31.543,43.02,0.51
2025-02-27 17:09:33.543,43.03,0.51
2025-02-27 17:09:41.543,43.1,0.51
2025-02-27 17:09:47.543,43.11,0.51
2025-02-27 17:09:55.543,43.1,0.51
2025-02-27 17:09:59.543,43.07,0.51
2025-02-27 17:10:09.533,42.98,0.51
2025-02-27 17:10:11.533,42.95,0.51
2025-02-27 17:10:21.533,42.81,0.51
2025-02-27 17:10:23.533,42.76,0.51
2025-02-27 17:10:33.533,42.53,0.51
2025-02-27 17:10:35.533,42.47,0.51
2025-02-27 17:10:45.533,42.19,0.51
2025-02-27 17:10:47.533,42.13,0.51
2025-02-27 17:10:57.533,41.66,0.51
2025-02-27 17:10:59.535,41.56,0.51
2025-02-27 17:11:09.533,41.04,0.51
2025-02-27 17:11:11.533,40.95,0.51
2025-02-27 17:11:21.533,40.51,0.51
2025-02-27 17:11:23.533,40.43,0.51
2025-02-27 17:11:33.533,40.05,0.51
2025-02-27 17:11:35.533,39.97,0.51
2025-02-27 17:11:45.533,39.65,0.51
2025-02-27 17:11:47.533,39.59,0.51
2025-02-27 17:11:57.533,39.28,0.51
2025-02-27 17:11:59.534,39.22,0.51
2025-02-27 17:12:09.533,38.95,0.51
2025-02-27 17:12:11.533,38.89,0.51
2025-02-27 17:12:21.533,38.64,0.51
2025-02-27 17:12:23.533,38.59,0.51
2025-02-27 17:12:33.533,38.33,0.51
2025-02-27 17:12:35.533,38.29,0.51
2025-02-27 17:12:45.533,38.05,0.51
2025-02-27 17:12:47.533,38.01,0.51
2025-02-27 17:12:57.533,37.79,0.51
2025-02-27 17:12:59.533,37.76,0.51
2025-02-27 17:13:09.534,37.59,0.51
2025-02-27 17:13:11.533,37.56,0.51
2025-02-27 17:13:21.533,37.37,0.51
2025-02-27 17:13:23.533,37.32,0.51
